played_word,word_score
judźie,16
rós,6
gziła,27
newai,4
kie,3
tą,5
bzyc,7
mizdach,13
wygon,24
ożot,10
dostawn,24
dal,4
terb,8
aułw,13
asani,10
tknięt,14
kra,8
my,2
bedel,8
ninj,10
szlirz,6
mętwi,12
diamet,6
ku,2
ny,1
tyglw,20
poleć,10
chn,9
źdzry,39
iskieki,9
słomoe,8
dho,4
my,2
tyglw,8
mambu,14
cofas,9
sorboz,14
ciupasw,18
in,1
wrzał,12
pók,7
siace,12
bażyna,20
pań,9
eś,5
doznń,10
ożyć,24
wietk,5
cały,11
ars,6
iw,1
dmucną,17
cało,6
koine,15
bezcen,7
dobra,5
pędny,24
gumn,11
mela,8
atak,4
dziś,18
wolarz,7
spal,9
cha,4
opy,3
feuów,12
timby,11
ewe,2
sapsgo,8
shot,6
unik,4
wyciece,61
potnicai,58
sąży,13
her,6
zlazszy,7
on,1
ciećkło,14
paź,28
zeń,9
zgonu,9
kiele,5
grr,4
in,1
żęce,21
alfa,13
aorta,6
tniaowi,6
łbm,8
lupk,5
on,1
bóś,26
bostn,5
perzyn,11
diada,18
almej,12
hak,8
mesy,5
do,2
iw,1
cen,8
hebd,8
bargl,11
kicajm,9
łeza,11
toja,6
iw,1
in,1
docentc,6
szronil,7
godzinną,63
dzióak,13
ćmioa,9
ulotc,14
skrywa,16
afemę,15
uśp,7
heły,7
as,3
rwą,2
eolsa,6
palu,12
nepam,10
wyżpn,18
okpeń,11
zyzi,3
we,1
genowa,21
propan,7
mu,10
zmyd,3
trzech,8
kasb,14
fenetk,10
nocj,9
siąkła,14
kalit,6
chia,9
oliwah,4
my,2
rypie,8
lyc,4
nadań,17
eś,18
kędy,9
geg,7
we,2
nużyć,20
wstrząs,11
lezy,6
boranó,12
colę,15
asti,3
domłaaj,12
rozporó,20
ubar,21
esce,4
opić,9
ny,1
kędy,9
rzemlk,11
zydl,5
cieniowy,59
wyka,5
in,1
my,2
iw,4
firce,9
orałbm,27
helania,12
jazd,6
capi,8
zranone,6
as,1
tańce,11
gej,10
zwieś,24
lóź,11
puką,13
ziso,2
we,1
paź,19
sutr,18
germanit,66
pad,4
denn,15
amica,12
on,1
grało,8
zeń,8
elewe,7
obróbk,8
ćwoa,4
hoc,4
wyucyć,13
sągoy,13
fleję,21
puż,7
hiw,4
efi,2
kia,2
łuzm,18
poiskmy,10
greliy,8
kiesc,18
kodó,8
tyj,5
sakai,9
in,1
aa,1
syt,10
atiia,6
beczm,12
fasj,19
krupom,13
paź,20
oleic,6
łyp,5
gota,21
hashai,9
lemm,10
żułe,14
nasro,3
zwinc,4
kic,1
bodzeń,14
